,job_title,company_name,python, R ,SQL,D3.js,matlab,excel, SAS ,BigML,Apache Spark,Jupyter,Tableau,Scikit,Tensorflow,Weka,Matplotlib,ggplot,nltk,Azure, BI ,Total num of tools
112,Machine Learning Engineer,SpineZone,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
113,Data Scientist I (Remote),KOHLS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
114,Data Scientist,Codoxo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,Business Analyst,Kaplan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,Specialist, Operational Analytics_Concentrix_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Data Engineer (Remote - North America),Paytm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,Principal Data Scientist - Remote,Splunk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Data & Insights - Data Scientist,RR Donnelley,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
120,BI Analyst, Ops_Drizly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
121,DATA ANALYST (PROJECT/TEMPORARY),University of Washington,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
122,Principal Data Engineer - Remote,Splunk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,Senior Data Scientist,ClarisHealth,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
